product,avg_views_pre,median_views_pre,max_views_pre,min_views_pre,range_views_pre,volatility_pre,cv_pre,total_views_pre,growth_rate_pre,trend_slope_pre,trend_r2_pre,largest_jump_pre,largest_drop_pre,days_above_mean_pre,view_skew_pre,acceleration_pre,avg_edits_pre,total_edits_pre,edit_view_ratio_pre,peak_views_post,log_peak_views_post
IOS 14,25.1,19.5,139,10,129,22.238630053730077,0.8520547913306542,753,-0.8633093525179856,-0.860734149054505,0.11222780074719718,17,-93,6,4.466426481518075,3.332142857142857,1.0,1,0.038314176245210725,46436,10.745851834241988
Carrot knife,23.133333333333333,17.5,119,5,114,21.16086534672489,0.8768314370189871,694,-0.8319327731092437,-1.0616240266963293,0.18856152254301015,41,-81,8,3.2409213181440433,4.182142857142857,3.25,13,0.13466850828729282,475,6.16541785423142
Grimace Shake,31772.433333333334,29380.0,51583,193,51390,10825.076245099719,0.3406958301148775,953173,118.63730569948187,-442.7383759733036,0.12531724917649753,27700,-19340,12,-0.2928094728032512,-2493.625,12.047619047619047,253,0.00037917271706926166,21351,9.968900691084361
Samsung Galaxy Fit (smartwatch),107.06666666666666,25.0,2331,5,2326,413.51041368050477,3.8264381278270028,3212,0.8181818181818182,3.9541713014460513,0.006850409021717518,2293,-2237,1,5.178074480301902,-33.324999999999996,3.0,27,0.027760641579272057,65,4.189654742026425
Samsung Galaxy Watch 8 Classic,6.566666666666666,4.0,56,1,55,9.531293488061083,1.2596423111975,197,-0.9285714285714286,-0.4100111234705228,0.13863281403532984,6,-43,7,4.630165139302542,1.3857142857142857,2.0,2,0.2643171806167401,12,2.5649493574615367
Turtle Chips,13.333333333333334,10.0,84,3,81,14.439144326755963,1.0073821623318113,400,-0.8809523809523809,-0.49388209121245824,0.08764801554772364,17,-55,10,3.896958177610925,2.232142857142857,3.0,6,0.20930232558139533,174,5.1647859739235145
LyteShot,13.1,12.0,57,4,53,9.292828776355812,0.6590658706635327,393,0.5833333333333334,0.2618464961067853,0.0594807051989204,49,-48,8,3.474641660438744,-0.19285714285714284,6.0,6,0.425531914893617,37,3.6375861597263857
Lomography Lomo'Instant Square Glass,12.633333333333333,5.0,108,1,107,24.772946713883055,1.817086556030542,379,-0.9537037037037037,-0.9559510567296995,0.1115563828108115,78,-100,4,3.2854518658507756,1.1964285714285716,3.25,13,0.23838630806845967,13,2.6390573296152584
Tornado Cash,276.53333333333336,198.0,844,78,766,178.52091069551363,0.643241330875019,8296,-0.7760663507109005,-13.886540600667406,0.45330279294076237,381,-377,10,1.554080833514183,25.150000000000006,4.0,60,0.01441268316118184,3462,8.149890544402423
Quick Share,38.6,28.0,93,14,79,23.034177505032243,0.5816711491169758,1158,-0.43010752688172044,0.8338153503893214,0.09816864565561711,33,-52,11,1.0495553380275173,3.8428571428571425,3.3333333333333335,10,0.08417508417508418,636,6.456769655572163
Oculus Rift,3017.233333333333,3055.0,4206,2219,1987,456.808616624317,0.151349669218522,90517,0.18586387434554974,-7.919688542825366,0.02251780614867734,1150,-1123,17,0.3965760960935996,47.73571428571429,4.2727272727272725,47,0.0014156384880980948,29723,10.299710079277359
Sulit TV,99.9,106.0,187,25,162,40.83980901032716,0.40475529247103226,2997,1.6,2.084315906562848,0.19513632722169258,139,-50,17,-0.08475990670225775,-8.282142857142857,3.8461538461538463,50,0.03811847221163376,120,4.795790545596741
City Connect,27.933333333333334,25.0,127,12,115,19.537883429094585,0.6752724687475087,838,-0.8818897637795275,-0.9837597330367074,0.18993346963035088,19,-97,7,4.31060968964415,2.017857142857143,11.0,11,0.38018433179723504,98,4.59511985013459
Janssen COVID-19 vaccine,5.566666666666666,4.5,18,1,17,4.543738059742832,0.691939806052208,167,-0.8,-0.2614015572858732,0.24795234094846966,12,-10,10,1.3270431503470845,0.7678571428571428,5.1923076923076925,135,0.7907067551737603,6781,8.822027322685583
Instax Mini 11,16.333333333333332,13.0,99,4,95,16.121069719124996,0.9300617145649037,490,-0.797979797979798,-0.2936596218020023,0.0248587452401866,11,-88,10,4.445298148825111,2.7678571428571432,8.0,16,0.46153846153846156,38,3.6635616461296463
Surreal (cereal),17.1,9.5,124,3,121,22.298505181588595,1.2319616122424637,513,-0.10714285714285714,-1.286540600667408,0.24938707266552324,96,-76,8,3.7341276558032814,4.603571428571429,2.25,9,0.12430939226519336,20691,9.937502431123406
Xiaomi Smart Band 8,10.166666666666666,10.0,20,4,16,3.3274948868814542,0.29798461673565263,305,-0.4117647058823529,0.020244716351501664,0.0027731096658103133,10,-12,10,1.1352548699440195,0.375,1.0,1,0.08955223880597016,156,5.056245805348308
Oculus Quest,16.433333333333334,15.0,35,5,30,8.130942271485036,0.46640204234139787,493,-0.36363636363636365,-0.6903225806451613,0.5400088152489712,9,-13,12,0.6403182749510652,1.0535714285714288,1.0,1,0.05736137667304015,148,5.003946305945459
Convidecia,574.9666666666667,599.0,1414,1,1413,522.8782193037134,0.9078272225887726,17249,21.22222222222222,54.05984427141267,0.8008052714325422,400,-338,15,0.11739460580655933,-9.089285714285717,2.2222222222222223,20,0.003858247969597006,3507,8.162801353492073
Samsung TV Plus,3.6551724137931036,3.0,7,1,6,1.805658960218765,0.3878822951581051,106,-0.5714285714285714,0.00541871921182266,0.000630405335000521,5,-5,11,0.5564470715795613,0.3769230769230769,1.0,1,0.21481481481481482,24,3.2188758248682006
Jamboard,63.93333333333333,60.5,124,39,85,20.51330191742801,0.3159132738823615,1918,0.4878048780487805,1.2636262513904337,0.2842788702311625,44,-59,11,1.3634639167265392,0.7107142857142859,1.0,5,0.015400410677618069,283,5.648974238161206
Lego Ghostbusters,31.933333333333334,21.5,87,7,80,22.153906101533327,0.6726894565242912,958,-0.28735632183908044,0.2589543937708565,0.010235861311881738,61,-66,12,1.1859511542697652,5.503571428571428,3.0,24,0.09109311740890687,182,5.209486152841421
Apple Watch Series 10,18.4,17.5,47,7,40,7.956548665512369,0.4101313745109469,552,-0.39285714285714285,-0.3804226918798665,0.17126232179722298,25,-18,14,1.3781307374169889,-0.8928571428571425,1.0,1,0.051546391752577324,280,5.638354669333745
IPhone 15 Plus,7.068965517241379,3.0,72,1,71,13.080469870508997,1.6210838728408588,205,-0.9444444444444444,-0.5970443349753695,0.1458359228717967,10,-50,7,4.2388076481319565,3.1423076923076927,4.0,4,0.49572649572649574,44,3.8066624897703196
Aira Compact,6.9,5.0,21,1,20,5.331353799302137,0.6748549113040679,207,-0.7619047619047619,-0.24093437152391545,0.15300335660865513,15,-14,9,1.3688468709510373,0.6178571428571429,1.75,7,0.22151898734177214,17,2.8903717578961645
Magnetar UDP900,8.466666666666667,6.5,63,1,62,10.641846122214364,1.124138674881799,254,-0.873015873015873,-0.3599555061179087,0.08571210052079631,11,-51,6,4.468236184146426,1.1785714285714282,2.0,2,0.2112676056338028,18,2.9444389791664403
Nokia Xseries,38.0,36.5,72,23,49,9.80136044978791,0.2513169346099464,1140,0.88,-0.24694104560622912,0.0475545733211163,28,-33,13,1.2234702020317192,-0.42499999999999977,1.3333333333333333,4,0.034188034188034185,61,4.127134385045092
Samsung Galaxy Watch 7,144.73333333333332,143.0,229,70,159,54.99692920720412,0.37738057552976295,4342,0.005319148936170213,-4.318131256952169,0.4618418054620696,63,-70,15,0.1394498450364583,10.614285714285714,2.0,22,0.01372369624885636,610,6.415096959171596
Lego DC Super Hero Girls,7.1,5.0,39,1,38,7.820272800015781,0.9654657777797261,213,-0.7142857142857143,-0.37886540600667407,0.17583468317146295,35,-32,6,2.9514210631097346,1.2,0.0,0,0.0,36,3.6109179126442243
Oculus Touch,3.413793103448276,3.0,22,1,21,3.873136850234199,0.8775075676311858,99,-0.625,-0.04433497536945813,0.009172026451671348,19,-20,7,3.8125225039738693,-0.27884615384615385,1.0,1,0.2265625,44,3.8066624897703196
Slice (drink),126.96666666666667,126.0,204,20,184,38.674266494516594,0.3022214104807236,3809,4.85,2.223581757508343,0.24765122435846668,63,-69,14,-0.5294188435616932,-7.47142857142857,1.5,3,0.011721802552748111,361,5.8916442118257715
Samsung Galaxy Fit 2,12.2,11.0,51,3,48,8.001666493091715,0.6061868555372512,366,-0.7843137254901961,-0.3795328142380422,0.16854513252033007,9,-41,10,3.6859304285294017,0.7607142857142855,3.0,3,0.2272727272727273,64,4.174387269895637
IOS 9,1748.6,1715.0,2716,1354,1362,291.1450497604244,0.1664066356655375,52458,-0.05513666352497644,5.94349276974416,0.03122073351995125,513,-944,14,1.2071096164335295,27.31785714285714,4.074074074074074,110,0.002328574573659165,37882,10.542257741629742
Veev,10.931034482758621,9.0,58,4,54,10.12654767901493,0.8487568863914248,317,-0.75,-0.43546798029556655,0.12944571256298731,30,-44,7,3.5827145556685496,2.0076923076923077,2.0,2,0.1676300578034682,67,4.219507705176107
Steam Link,6.3,6.0,12,2,10,2.8653097563788807,0.39250818580532615,189,0.09090909090909091,0.10211345939933257,0.09514835132824528,7,-8,13,0.4796763889878997,0.3285714285714286,0.0,0,0.0,44,3.8066624897703196
Apple Music 1,192.0,121.5,680,92,588,159.20029313205845,0.8248719851401992,5760,-0.84,-10.1321468298109,0.3034545607219564,487,-490,5,2.2910927301690864,18.93571428571428,2.5,20,0.012953367875647668,1031,6.939253946041508
Apple Watch Series 2,384.26666666666665,365.5,703,57,646,176.15086967962688,0.45721803862163063,11528,2.0121951219512195,-6.428031145717464,0.09976192187532337,646,-148,14,0.05742315543151375,-38.39642857142857,2.5,15,0.0064890119397819695,383,5.950642552587727
Moderna COVID-19 vaccine,782.5333333333333,106.0,4515,9,4506,1499.9903051538552,1.914392459568436,23476,241.06666666666666,117.94082313681868,0.4631587258066621,3183,-618,6,1.7668059188510907,344.65714285714284,3.814814814814815,103,0.0048687332785009975,16844,9.731809155840653
Wonder Ball,227.96666666666667,195.5,608,121,487,103.34907944545137,0.4513717256316117,6839,-0.5384615384615384,-2.0104560622914347,0.02835008679705381,323,-339,13,1.6951099790298416,-1.4428571428571426,1.5,3,0.006551171931867812,557,6.324358962381311
Super NES Classic Edition,1595.7,898.0,9746,642,9104,1808.5393397251091,1.1326732258565222,47871,-0.7481820630218152,-122.80333704115684,0.34541632750279355,6033,-4627,6,3.3199719120558338,404.7392857142857,8.88888888888889,80,0.0055670375705448045,16881,9.734003244543665
Samsung Galaxy Home,21.862068965517242,20.0,44,3,41,9.7758468649155,0.42760114492088913,634,1.1,0.07044334975369454,0.0036347057610681714,38,-23,12,0.511451386174053,-1.8909340659340659,1.2,6,0.052488687782805424,83,4.430816798843313
Yamaha CP88-73,6.785714285714286,5.0,30,1,29,6.14327241121272,0.7890441629080558,190,-0.7619047619047619,-0.4001094690749864,0.27678250010229893,11,-18,9,2.279469006752248,1.1384615384615386,1.25,5,0.16055045871559634,24,3.2188758248682006
Playground (company),12.3,9.0,77,1,76,14.055010968808718,1.0567677420156931,369,-0.9090909090909091,-0.7116796440489431,0.19208133078924203,15,-54,8,3.4032679447941203,2.914285714285714,2.75,11,0.20676691729323307,169,5.135798437050262
Cascatelli,70.5,53.5,192,20,172,40.038939379892,0.5599851661523356,2115,-0.4888888888888889,-2.0144605116796437,0.18964038730035426,75,-90,12,1.034521099627512,-5.928571428571427,1.7142857142857142,12,0.023976023976023976,561,6.331501849893691
CHIP (computer),21.633333333333333,19.0,51,7,44,9.758699822323782,0.4311649406034072,649,-0.5227272727272727,0.14927697441601778,0.01752992973313443,25,-32,13,1.1442905919547461,1.264285714285714,2.3333333333333335,7,0.10309278350515465,617,6.42648845745769
Adidas Oceaunz,82.23333333333333,67.5,208,26,182,50.737023518881706,0.6095757731543657,2467,-0.15384615384615385,0.39399332591768604,0.004517583664427818,108,-114,12,0.9873492523129938,-17.17142857142857,0.0,0,0.0,76,4.343805421853684
Scent of Africa,5.933333333333334,5.0,27,1,26,4.4492196569236215,0.641714373594753,178,-0.8518518518518519,-0.04938820912124581,0.009231181879981403,6,-23,13,3.448123950293018,0.47499999999999987,2.0,2,0.28846153846153844,21,3.091042453358316
Pop it,246.53333333333333,258.0,309,68,241,50.6463117007437,0.20460400633211837,7396,3.0,2.012903225806452,0.11833918946593681,83,-60,20,-1.8575583350778626,-6.771428571428572,2.6666666666666665,8,0.01077295987072448,868,6.767343125265392
OMNY,118.0,102.5,278,71,207,50.950956811427986,0.4281593009363696,3540,-0.42805755395683454,-4.088542825361513,0.48240395508791656,75,-61,11,1.7383888101912164,11.074999999999998,2.8,14,0.023529411764705882,888,6.790097235513905
New Nintendo 2DS XL,1072.7,703.0,5193,489,4704,912.7482365544911,0.8500961502789336,32181,-0.8998652031580975,-71.53125695216907,0.46011686672440866,574,-2457,10,3.2186314547908736,164.09642857142856,8.444444444444445,76,0.007864808088334212,1864,7.5310163320779155
Modified Philip Dunne Infiltrometer,7.413793103448276,4.0,54,1,53,12.271405622714694,1.4584867338472383,215,-0.9814814814814815,-0.6270935960591132,0.1827991399964806,42,-47,6,3.0836699699247703,2.100824175824176,7.333333333333333,22,0.8715846994535519,24,3.2188758248682006
Sega Genesis Mini,377.76666666666665,267.0,1309,155,1154,262.0373616278581,0.6918173764706278,11333,0.5378486055776892,11.644271412680759,0.1479369460669899,1154,-278,10,2.076072843368432,-5.8071428571428525,4.75,38,0.012540702279327643,4735,8.462948176563842
Tokki Soju,7.5,5.5,35,2,33,6.328506932918696,0.7445302274021995,225,-0.8260869565217391,-0.3210233592880979,0.1927743268633896,12,-26,10,3.1457049335123086,0.8821428571428568,1.0,2,0.11764705882352941,19,2.995732273553991
Lego Vidiyo,36.3,32.5,96,20,76,16.11241757155021,0.4319682995053676,1089,-0.4791666666666667,-0.7708565072302558,0.17147630404278452,33,-43,12,1.8878623834991806,3.9071428571428557,2.5294117647058822,43,0.0678126478473427,158,5.0689042022202315
MTA (app),35.766666666666666,22.5,79,5,74,26.635419192412865,0.7244447649794977,1073,-0.5769230769230769,-1.3692992213570632,0.1979958537446157,39,-52,13,0.27828564647102844,-7.582142857142856,3.0,6,0.0815956482320943,45,3.828641396489095
Amazon Underground,24.333333333333332,20.0,113,10,103,17.818217893181377,0.7033507063097912,730,-0.911504424778761,-0.7070077864293659,0.11795009861793189,21,-83,9,4.0862038488623185,2.214285714285714,3.0,9,0.11842105263157895,140,4.948759890378168
Enchantimals,126.53333333333333,113.0,304,82,222,43.58878550983294,0.3417834723719258,3796,-0.27011494252873564,-1.2333704115684088,0.05998131177018549,222,-114,9,2.4583473731284706,6.360714285714286,5.222222222222222,47,0.040947900331068134,207,5.337538079701318
The Lego Batman Movie (Lego theme),22.033333333333335,21.0,41,10,31,7.0355446760637435,0.3054505648073984,661,0.3333333333333333,0.07363737486095663,0.008206908486939092,17,-21,12,0.5894685949952528,-0.682142857142857,1.8,9,0.07814761215629522,116,4.762173934797756
Playdate (console),367.93333333333334,190.0,2095,41,2054,399.94115678295583,1.0840472265530063,11038,2.4878048780487805,-27.440266963292544,0.3526654489158556,2054,-1037,10,2.8178583984578336,54.13928571428572,6.111111111111111,55,0.01656426936513673,273,5.6131281063880705
Google Podcasts,23.266666666666666,23.5,45,8,37,10.056286038537731,0.41440739169798346,698,0.15789473684210525,0.6126807563959956,0.27808123897686765,24,-19,15,0.5148027105567474,2.121428571428572,1.6666666666666667,5,0.06868131868131869,112,4.727387818712341
Micro Bit,518.7666666666667,223.0,6563,11,6552,1193.5581170973155,2.296334477837457,15563,5.956521739130435,11.915239154616238,0.007466152074881631,6233,-6023,4,4.417666026810509,-86.47857142857143,11.416666666666666,137,0.021964984287821458,622,6.434546518787453
Atari VCS (2021 console),512.8,475.5,933,102,831,194.74639919649348,0.37903152821427305,15384,3.911764705882353,-9.140823136818685,0.165047969108748,819,-280,10,0.6294043249200887,-19.017857142857146,2.75,22,0.005352277150642274,1272,7.149131598557407
Nintendo Switch,16042.833333333334,9737.0,117504,5701,111803,21459.155177659934,1.3375329157200544,481285,-0.9236281318082789,-1285.317686318131,0.2687659037445626,2088,-55349,5,3.8349843598619078,4405.671428571429,24.03846153846154,625,0.0014982991308266857,165448,12.016418269209401
Starry (drink),2089.733333333333,1864.5,4715,210,4505,1152.342800076821,0.55116679956482,62692,10.766666666666667,5.284093437152387,0.0015752737547878,2389,-3158,11,0.6653128394113296,-141.89285714285714,3.2,48,0.001530563438665859,21997,9.998706819117062
Smorz,45.5,46.0,82,21,61,11.203422096246605,0.24093380852143237,1365,0.1111111111111111,-0.23159065628476086,0.03201246490405471,41,-39,16,0.7716452153547021,-0.06071428571428571,0.0,0,0.0,78,4.3694478524670215
AirPods,35.13333333333333,34.5,52,21,31,8.853373493884815,0.24501956163887864,1054,-0.36363636363636365,-0.5744160177975528,0.31536533750991186,19,-22,12,0.27088243060362743,-1.4964285714285712,4.5,27,0.12453874538745388,454,6.12029741895095
Boundary (video game),30.8,21.0,107,6,101,25.138814610080566,0.7905287613232882,924,-0.7476635514018691,-0.7239154616240266,0.06212473658998943,55,-86,9,1.7408989902469423,0.7392857142857142,1.7142857142857142,12,0.053908355795148244,142,4.962844630259907
COVIran Barekat,614.1333333333333,599.5,1131,242,889,199.22612501599508,0.32387470198763696,18424,1.3884297520661157,-2.4947719688542827,0.011747557548407192,477,-306,15,0.8501785045515416,-3.9607142857142925,4.0,56,0.006502655250894115,676,6.517671272912275
Samsung Galaxy Book series,111.56666666666666,104.5,222,16,206,48.08512128391577,0.42717016242744243,3347,8.875,-2.5328142380422687,0.20785653911902646,96,-54,15,0.46091594035882966,0.24285714285714294,2.0,4,0.017767249037607343,163,5.099866427824199
Lego Monkie Kid,129.7,134.0,201,60,141,31.627150783253725,0.2419827909965855,3891,0.007462686567164179,0.9577308120133481,0.06869817926569417,83,-59,16,-0.4933579738704649,-1.4214285714285713,2.6153846153846154,34,0.020010593843799662,2008,7.605392364814935
Space Hippie,14.466666666666667,12.0,51,4,47,8.920886851777812,0.5767814774856344,434,-0.8431372549019608,-0.6309232480533925,0.3747273954567086,18,-28,11,2.3012377402356976,0.23571428571428543,2.5,5,0.16163793103448276,50,3.9318256327243257
TRDR Pocket,7.607142857142857,4.0,29,1,28,6.86783021315573,0.7979221824413296,213,-0.896551724137931,-0.47591680350301035,0.3133310932714323,14,-11,11,1.7271083666090112,0.5912087912087909,2.5,5,0.2904564315352697,48,3.8918202981106265
Samsung Gear 360,43.96666666666667,37.5,140,22,118,23.03979648829872,0.5123750145655757,1319,-0.7142857142857143,-0.9866518353726365,0.13738807061483052,47,-97,11,2.669038346336822,5.442857142857142,2.25,9,0.050037064492216454,85,4.454347296253507
Logitech G29,21.333333333333332,20.5,36,13,23,5.804213029247711,0.2598901356379572,640,1.25,0.132146829810901,0.03883338567332216,16,-14,10,0.75385752902655,0.5892857142857143,2.0,6,0.08955223880597016,44,3.8066624897703196
Apple Watch Series 6,446.3333333333333,334.0,2007,186,1821,363.2153937021699,0.8119569158766838,13390,-0.6387096774193548,-28.032925472747493,0.4462588045918659,922,-994,9,2.901920719470861,79.55714285714288,6.0,48,0.013412816691505217,427,6.059123195581797
Amazon Astro,71.33333333333333,51.0,267,30,237,48.82030542942375,0.6749350981026325,2140,-0.6771653543307087,-3.722358175750834,0.43552569365708704,140,-132,7,2.4660721176175726,8.642857142857142,2.0,10,0.027649769585253458,139,4.941642422609304
Xiaomi Smart Band 9,55.56666666666667,51.5,100,34,66,17.94562775596205,0.31724739698224014,1667,0.35135135135135137,1.057397107897664,0.26009821525444626,35,-22,11,1.1844506803451063,5.364285714285714,1.25,5,0.022097819681791395,436,6.07993319509559
Game Gear Micro,54.3,42.0,220,19,201,41.37241432001119,0.7481449244124989,1629,-0.85,-3.2736373748609564,0.4690486128715801,23,-80,9,2.770275366786869,7.399999999999998,1.0,2,0.018083182640144666,127,4.852030263919617
LG Watch Sport,38.8,18.0,236,8,228,53.345040381776194,1.3403276477833215,1164,-0.9322033898305084,-1.9786429365962177,0.10306832241285525,69,-159,7,2.8199999953762194,13.346428571428572,4.571428571428571,32,0.1148600143575018,152,5.030437921392435
GPD XD,42.166666666666664,24.0,356,12,344,61.79918194352485,1.4316412805449774,1265,0.10810810810810811,-2.464738598442714,0.11916664867217089,282,-259,6,4.3692071952427725,12.392857142857142,4.75,19,0.11003861003861004,537,6.2878585601617845
Sinopharm BIBP COVID-19 vaccine,2258.766666666667,2065.0,4057,225,3832,809.7686782175649,0.3583417218079587,67763,7.217777777777778,50.99555061179087,0.2971125986015076,1739,-758,13,0.2649078645256265,-209.38214285714287,2.1,21,0.0009292994851975867,2343,7.759614150696903
Skelly (Halloween decoration),7.033333333333333,5.5,60,1,59,10.110995115329757,1.2586300973439533,211,-0.9,-0.39577308120133475,0.11478447403903552,5,-48,4,4.76362132806396,1.5357142857142856,7.0,7,0.8713692946058091,18,2.9444389791664403
Analogue Pocket,39.0,39.5,69,10,59,12.685950233755978,0.31714875584389945,1170,-0.39655172413793105,0.5761957730812013,0.1545512688774142,37,-34,15,0.18152498306992387,0.3214285714285715,1.8,9,0.045,186,5.231108616854587
Oppo UDP-203,11.466666666666667,7.0,94,2,92,16.319177539188534,1.3090249362985455,344,-0.8617021276595744,-0.7279199110122357,0.149055878708969,18,-82,7,4.310424332572752,3.2357142857142853,3.0,6,0.24064171122994651,40,3.713572066704308
Apple Watch Series 7,37.3,33.0,183,13,170,28.328019109472987,0.7396349636938118,1119,0.6923076923076923,-1.060956618464961,0.10508513463443167,170,-143,7,4.496932130694504,3.121428571428571,1.0,1,0.026109660574412535,43,3.784189633918261
Thumby (console),16.6,16.0,30,6,24,5.624944444170094,0.31959911614602804,498,0.25,-0.10723025583982199,0.027225549575850282,16,-17,13,0.30022490648279193,-0.17142857142857143,1.0,1,0.056818181818181816,40,3.713572066704308
Adidas Uniforia,17.633333333333333,15.5,48,6,42,9.174178740113774,0.49235306297569453,529,0.3333333333333333,0.32146829810901,0.091985707554064,38,-28,12,1.4166482582816304,1.3249999999999997,1.3333333333333333,4,0.07155635062611806,33,3.5263605246161616
Glaswegin,11.3,7.5,39,3,36,9.295697929687691,0.7557477991616008,339,-0.7692307692307693,-0.29032258064516125,0.07307621952357665,25,-24,8,1.5832154874629827,5.551115123125783e-17,3.0,3,0.24390243902439024,24,3.2188758248682006
Evercade,69.53333333333333,64.5,133,37,96,19.393698862144774,0.27495792337634367,2086,0.11688311688311688,-0.7305895439377086,0.10631732840489781,46,-83,13,1.150409108095915,-0.017857142857142627,2.0,12,0.02835538752362949,195,5.278114659230517
Everyone Is Awesome,41.13333333333333,37.5,260,4,256,43.811515482677486,1.0398302725319024,1234,-0.6724137931034483,-0.9797552836484985,0.03746598215565338,256,-211,8,4.07959301925097,2.3357142857142854,14.333333333333334,43,0.34018987341772156,68,4.23410650459726
Adidas Nativo,16.633333333333333,8.5,119,2,117,21.781465107338907,1.2352437679020174,499,-0.9411764705882353,-1.4329254727474972,0.3242287144387781,16,-72,10,3.5228915097240847,3.4821428571428568,3.0,9,0.17013232514177695,12,2.5649493574615367
Amazon Echo Buds,66.1,53.5,139,19,120,34.650012025009936,0.5163936218332331,1983,-0.6690647482014388,-2.8620689655172415,0.5111305688625537,34,-68,12,0.6930238989365342,8.24642857142857,9.0,9,0.13412816691505217,176,5.176149732573829
CureVac COVID-19 vaccine,331.6333333333333,329.5,541,48,493,109.76474337823092,0.329987203261542,9949,7.458333333333333,10.194660734149052,0.6462465952672255,127,-147,15,-0.4394560795181465,-4.178571428571429,1.5555555555555556,14,0.004676487289975616,4930,8.503297086224126
Samsung Galaxy Watch 5 Pro,32.8,33.5,47,16,31,8.215432632146241,0.2430601370457468,984,0.3125,-0.22602892102335928,0.05670816469768199,21,-23,15,-0.28764609312402384,-1.207142857142857,1.0,1,0.02958579881656805,53,3.9889840465642745
NumWorks,13.8,9.5,78,3,75,15.35013572144125,1.0371713325298142,414,-0.8974358974358975,-0.8809788654060067,0.24676580940242943,8,-43,7,3.2351958175325133,3.5749999999999997,4.0,8,0.27027027027027023,60,4.110873864173311
Oculus Rift S,365.6,361.0,524,167,357,78.61577449850633,0.21444564784098832,10968,0.2066420664206642,4.69143492769744,0.26679055146905306,116,-122,14,-0.40139083097845574,-12.053571428571432,2.8181818181818183,31,0.0076873481128800275,1877,7.537962659768208
Apple Watch Series 9,31.133333333333333,30.0,54,13,41,10.42987163018904,0.32458106732953446,934,-0.4523809523809524,-0.9503893214682981,0.6220475947835487,16,-22,14,0.26636891642827787,0.15714285714285725,1.0,1,0.03112033195020747,76,4.343805421853684
